Tip Matrice,Tip alocare,Nr threads,Timp executie
,,2,0
,,2,0
,,2,2.5988
,,2,2.51422
,,2,1.68746
,,2,1.773
,,1,45.73896
,,2,19.80152
,,4,17.00868
,,8,14.72532
,,16,63.87304
,,16,69.76732
,,16,62.04128
,,16,77.3439
,,16,64.7494
,,16,61.58332
,,1,35.23058
,,2,16.34128
,,4,9.32394
,,4,9.49528
,,8,11.37472
,,16,53.49976
,,1,3.28236
,,2,3.23516
,,4,3.26062
,,8,8.28222
,,16,53.84186
,,1,4.846
,,1,4.71294
,,2,3.72312
,,4,3.5304
,,8,11.54742
,,8,6.04342
,,16,64.41266
,,16,70.36142
,,16,62.279
,,16,54.08708
,,11,18.43438
,,1,4.62346
,,2,3.4783
,,3,3.62494
,,5,3.85784
,,4,3.83888
,,8,4.86052
,,16,55.7764
,,1,0
,,1,0
,,1,0
,,1,0
,,2,0
,,2,0
,,1,3.28776
,,2,2.94568
,,4,3.17848
,,8,4.57658
,,16,61.3396
